a[0]=12,temp_max=12
a[150]=12,temp_max=1870
a[151]=13,temp_max=1883
a[152]=13,temp_max=1896
a[153]=13,temp_max=1909
a[154]=13,temp_max=1922
a[155]=13,temp_max=1935
a[156]=13,temp_max=1948
a[157]=10,temp_max=1958
a[158]=12,temp_max=1970
a[159]=13,temp_max=1983
a[160]=13,temp_max=1996
a[161]=13,temp_max=2009
a[162]=13,temp_max=2022
a[163]=13,temp_max=2035
a[164]=12,temp_max=2047
a[165]=12,temp_max=2059
a[166]=13,temp_max=2072
a[167]=10,temp_max=2082
a[168]=13,temp_max=2095
a[169]=13,temp_max=2108
a[170]=13,temp_max=2121
a[171]=13,temp_max=2134
a[172]=13,temp_max=2147
a[173]=13,temp_max=2160
a[174]=13,temp_max=2173
a[175]=13,temp_max=2186
a[176]=13,temp_max=2199
a[177]=10,temp_max=2209
a[178]=13,temp_max=2222
a[179]=13,temp_max=2235
a[180]=10,temp_max=2245
a[181]=13,temp_max=2258
a[182]=10,temp_max=2268
a[183]=13,temp_max=2281
a[184]=13,temp_max=2294
a[185]=12,temp_max=2306
a[186]=12,temp_max=2318
a[187]=13,temp_max=2331
a[188]=13,temp_max=2344
a[189]=13,temp_max=2357
a[190]=12,temp_max=2369
a[191]=10,temp_max=2379
a[192]=13,temp_max=2392
a[193]=13,temp_max=2405
a[194]=13,temp_max=2418
a[195]=13,temp_max=2431
a[196]=13,temp_max=2444
a[197]=13,temp_max=2457
a[198]=13,temp_max=2470
a[199]=13,temp_max=2483
a[200]=12,temp_max=2495
a[201]=13,temp_max=2508
a[202]=12,temp_max=2520
a[203]=13,temp_max=2533
a[204]=13,temp_max=2546
a[205]=12,temp_max=2558
a[206]=13,temp_max=2571
a[207]=13,temp_max=2584
a[208]=13,temp_max=2597
a[209]=13,temp_max=2610
a[210]=13,temp_max=2623
a[211]=10,temp_max=2633
a[212]=13,temp_max=2646
a[213]=12,temp_max=2658
a[214]=13,temp_max=2671
a[215]=10,temp_max=2681
a[216]=13,temp_max=2694
a[217]=13,temp_max=2707
a[218]=12,temp_max=2719
a[219]=13,temp_max=2732
a[220]=13,temp_max=2745
a[221]=13,temp_max=2758
a[222]=13,temp_max=2771
a[223]=13,temp_max=2784
a[224]=12,temp_max=2796
a[225]=13,temp_max=2809
a[226]=12,temp_max=2821
a[227]=12,temp_max=2833
a[228]=12,temp_max=2845
a[229]=13,temp_max=2858
a[230]=10,temp_max=2868
a[231]=13,temp_max=2881
a[232]=13,temp_max=2894
a[233]=13,temp_max=2907
a[234]=13,temp_max=2920
a[235]=13,temp_max=2933
a[236]=13,temp_max=2946
a[237]=10,temp_max=2956
a[238]=13,temp_max=2969
a[239]=12,temp_max=2981
a[240]=12,temp_max=2993
a[241]=12,temp_max=3005
a[242]=12,temp_max=3017
a[243]=13,temp_max=3030
a[244]=13,temp_max=3043
a[245]=13,temp_max=3056
a[246]=13,temp_max=3069
a[247]=13,temp_max=3082
a[248]=12,temp_max=3094
a[249]=12,temp_max=3106
a[250]=13,temp_max=3119
a[251]=13,temp_max=3132
a[252]=13,temp_max=3145
a[253]=13,temp_max=3158
a[254]=10,temp_max=3168
a[255]=13,temp_max=3181
a[256]=13,temp_max=3194
a[257]=13,temp_max=3207
a[258]=12,temp_max=3219
a[259]=13,temp_max=3232
a[260]=12,temp_max=3244
a[261]=10,temp_max=3254
a[262]=12,temp_max=3266
a[263]=10,temp_max=3276
a[264]=13,temp_max=3289
a[265]=13,temp_max=3302
a[266]=13,temp_max=3315
a[267]=13,temp_max=3328
a[268]=10,temp_max=3338
a[269]=12,temp_max=3350
a[270]=13,temp_max=3363
a[271]=13,temp_max=3376
a[272]=13,temp_max=3389
a[273]=12,temp_max=3401
a[274]=12,temp_max=3413
a[275]=13,temp_max=3426
a[276]=10,temp_max=3436
a[277]=13,temp_max=3449
a[278]=13,temp_max=3462
a[279]=13,temp_max=3475
a[280]=13,temp_max=3488
a[281]=13,temp_max=3501
a[282]=12,temp_max=3513
a[283]=12,temp_max=3525
a[284]=13,temp_max=3538
a[285]=12,temp_max=3550
a[286]=13,temp_max=3563
a[287]=13,temp_max=3576
a[288]=13,temp_max=3589
a[289]=13,temp_max=3602
a[290]=12,temp_max=3614
a[291]=12,temp_max=3626
a[292]=13,temp_max=3639
a[293]=12,temp_max=3651
a[294]=13,temp_max=3664
a[295]=10,temp_max=3674
a[296]=13,temp_max=3687
a[297]=10,temp_max=3697
a[298]=13,temp_max=3710
a[299]=13,temp_max=3723
a[300]=13,temp_max=3736
a[301]=12,temp_max=3748
a[302]=13,temp_max=3761
a[303]=13,temp_max=3774
a[304]=10,temp_max=3784
a[305]=13,temp_max=3797
a[306]=13,temp_max=3810
a[307]=10,temp_max=3820
a[308]=10,temp_max=3830
a[309]=12,temp_max=3842
a[310]=12,temp_max=3854
a[311]=13,temp_max=3867
a[312]=13,temp_max=3880
a[313]=12,temp_max=3892
a[314]=10,temp_max=3902
a[315]=13,temp_max=3915
a[316]=13,temp_max=3928
a[317]=10,temp_max=3938
a[318]=13,temp_max=3951
a[319]=13,temp_max=3964
a[320]=13,temp_max=3977
a[321]=12,temp_max=3989
a[322]=13,temp_max=4002
a[323]=10,temp_max=4012
a[324]=13,temp_max=4025
a[325]=10,temp_max=4035
a[326]=12,temp_max=4047
a[327]=13,temp_max=4060
a[328]=13,temp_max=4073
a[329]=12,temp_max=4085
a[330]=10,temp_max=4095
a[331]=13,temp_max=4108
a[332]=13,temp_max=4121
a[333]=13,temp_max=4134
a[334]=13,temp_max=4147
a[335]=12,temp_max=4159
a[336]=13,temp_max=4172
a[337]=12,temp_max=4184
a[338]=13,temp_max=4197
a[339]=13,temp_max=4210
a[340]=13,temp_max=4223
a[341]=13,temp_max=4236
a[342]=13,temp_max=4249
a[343]=13,temp_max=4262
a[344]=13,temp_max=4275
a[345]=12,temp_max=4287
a[346]=13,temp_max=4300
a[347]=10,temp_max=4310
a[348]=10,temp_max=4320
a[349]=13,temp_max=4333
a[350]=13,temp_max=4346
a[351]=13,temp_max=4359
a[352]=13,temp_max=4372
a[353]=10,temp_max=4382
a[354]=13,temp_max=4395
a[355]=13,temp_max=4408
a[356]=13,temp_max=4421
a[357]=10,temp_max=4431
a[358]=12,temp_max=4443
a[359]=13,temp_max=4456
a[360]=13,temp_max=4469
a[361]=13,temp_max=4482
a[362]=12,temp_max=4494
a[363]=13,temp_max=4507
a[364]=12,temp_max=4519
a[365]=12,temp_max=4531
a[366]=13,temp_max=4544
a[367]=13,temp_max=4557
a[368]=10,temp_max=4567
a[369]=13,temp_max=4580
a[370]=13,temp_max=4593
a[371]=13,temp_max=4606
a[372]=12,temp_max=4618
a[373]=10,temp_max=4628
a[374]=13,temp_max=4641
a[375]=13,temp_max=4654
a[376]=12,temp_max=4666
a[377]=12,temp_max=4678
a[378]=12,temp_max=4690
a[379]=13,temp_max=4703
a[380]=10,temp_max=4713
a[381]=13,temp_max=4726
a[382]=13,temp_max=4739
a[383]=12,temp_max=4751
a[384]=13,temp_max=4764
a[385]=13,temp_max=4777
a[386]=13,temp_max=4790
a[387]=13,temp_max=4803
a[388]=12,temp_max=4815
a[389]=12,temp_max=4827
a[390]=10,temp_max=4837
a[391]=13,temp_max=4850
a[392]=10,temp_max=4860
a[393]=10,temp_max=4870
a[394]=13,temp_max=4883
a[395]=13,temp_max=4896
a[396]=12,temp_max=4908
a[397]=13,temp_max=4921
a[398]=12,temp_max=4933
a[399]=13,temp_max=4946
a[400]=12,temp_max=4958
a[401]=13,temp_max=4971
a[402]=10,temp_max=4981
a[403]=12,temp_max=4993
a[404]=13,temp_max=5006
a[405]=13,temp_max=5019
a[406]=12,temp_max=5031
a[407]=13,temp_max=5044
a[408]=13,temp_max=5057
a[409]=13,temp_max=5070
a[410]=13,temp_max=5083
a[411]=13,temp_max=5096
a[412]=13,temp_max=5109
a[413]=13,temp_max=5122
a[414]=12,temp_max=5134
a[415]=13,temp_max=5147
a[416]=12,temp_max=5159
a[417]=13,temp_max=5172
a[418]=13,temp_max=5185
a[419]=13,temp_max=5198
a[420]=12,temp_max=5210
a[421]=10,temp_max=5220
a[422]=12,temp_max=5232
a[423]=10,temp_max=5242
a[424]=13,temp_max=5255
a[425]=13,temp_max=5268
a[426]=12,temp_max=5280
a[427]=13,temp_max=5293
a[428]=13,temp_max=5306
a[429]=13,temp_max=5319
a[430]=13,temp_max=5332
a[431]=12,temp_max=5344
a[432]=13,temp_max=5357
a[433]=13,temp_max=5370
a[434]=13,temp_max=5383
a[435]=13,temp_max=5396
a[436]=10,temp_max=5406
a[437]=13,temp_max=5419
a[438]=13,temp_max=5432
a[439]=13,temp_max=5445
a[440]=13,temp_max=5458
a[441]=13,temp_max=5471
a[442]=13,temp_max=5484
a[443]=13,temp_max=5497
a[444]=13,temp_max=5510
a[445]=13,temp_max=5523
a[446]=12,temp_max=5535
a[447]=12,temp_max=5547
a[448]=13,temp_max=5560
a[449]=13,temp_max=5573
a[450]=13,temp_max=5586
a[451]=12,temp_max=5598
a[452]=13,temp_max=5611
a[453]=13,temp_max=5624
a[454]=13,temp_max=5637
a[455]=13,temp_max=5650
a[456]=13,temp_max=5663
a[457]=13,temp_max=5676
a[458]=12,temp_max=5688
a[459]=12,temp_max=5700
a[460]=10,temp_max=5710
a[461]=13,temp_max=5723
a[462]=13,temp_max=5736
a[463]=13,temp_max=5749
a[464]=13,temp_max=5762
a[465]=12,temp_max=5774
a[466]=12,temp_max=5786
a[467]=13,temp_max=5799
a[468]=13,temp_max=5812
a[469]=13,temp_max=5825
a[470]=13,temp_max=5838
a[471]=12,temp_max=5850
a[472]=13,temp_max=5863
a[473]=13,temp_max=5876
a[474]=10,temp_max=5886
a[475]=13,temp_max=5899
a[476]=12,temp_max=5911
a[477]=13,temp_max=5924
a[478]=13,temp_max=5937
a[479]=10,temp_max=5947
a[480]=13,temp_max=5960
a[481]=13,temp_max=5973
a[482]=10,temp_max=5983
a[483]=13,temp_max=5996
a[484]=13,temp_max=6009
a[485]=13,temp_max=6022
a[486]=12,temp_max=6034
a[487]=13,temp_max=6047
a[488]=13,temp_max=6060
a[489]=12,temp_max=6072
a[490]=13,temp_max=6085
a[491]=13,temp_max=6098
a[492]=10,temp_max=6108
a[493]=13,temp_max=6121
a[494]=13,temp_max=6134
a[495]=13,temp_max=6147
a[496]=13,temp_max=6160
a[497]=12,temp_max=6172
a[498]=13,temp_max=6185
a[499]=13,temp_max=6198
a[500]=12,temp_max=6210
a[501]=10,temp_max=6220
a[502]=13,temp_max=6233
a[503]=13,temp_max=6246
a[504]=13,temp_max=6259
a[505]=13,temp_max=6272
a[506]=13,temp_max=6285
a[507]=10,temp_max=6295
a[508]=13,temp_max=6308
a[509]=13,temp_max=6321
a[510]=13,temp_max=6334
a[511]=12,temp_max=6346
a[512]=13,temp_max=6359
a[513]=13,temp_max=6372
a[514]=13,temp_max=6385
a[515]=13,temp_max=6398
a[516]=10,temp_max=6408
a[517]=10,temp_max=6418
a[518]=13,temp_max=6431
a[519]=10,temp_max=6441
a[520]=10,temp_max=6451
a[521]=10,temp_max=6461
a[522]=12,temp_max=6473
a[523]=12,temp_max=6485
a[524]=10,temp_max=6495
a[525]=10,temp_max=6505
a[526]=12,temp_max=6517
a[527]=13,temp_max=6530
a[528]=13,temp_max=6543
a[529]=12,temp_max=6555
a[530]=13,temp_max=6568
a[531]=10,temp_max=6578
a[532]=13,temp_max=6591
a[533]=13,temp_max=6604
a[534]=12,temp_max=6616
a[535]=12,temp_max=6628
a[536]=10,temp_max=6638
a[537]=13,temp_max=6651
a[538]=12,temp_max=6663
a[539]=13,temp_max=6676
a[540]=13,temp_max=6689
a[541]=10,temp_max=6699
a[542]=13,temp_max=6712
a[543]=13,temp_max=6725
a[544]=13,temp_max=6738
a[545]=12,temp_max=6750
a[546]=13,temp_max=6763
a[547]=10,temp_max=6773
a[548]=13,temp_max=6786
a[549]=13,temp_max=6799
a[550]=13,temp_max=6812
a[551]=13,temp_max=6825
a[552]=10,temp_max=6835
a[553]=13,temp_max=6848
a[554]=12,temp_max=6860
a[555]=13,temp_max=6873
a[556]=10,temp_max=6883
a[557]=13,temp_max=6896
a[558]=13,temp_max=6909
a[559]=12,temp_max=6921
a[560]=13,temp_max=6934
a[561]=12,temp_max=6946
a[562]=13,temp_max=6959
a[563]=13,temp_max=6972
a[564]=13,temp_max=6985
a[565]=13,temp_max=6998
a[566]=13,temp_max=7011
a[567]=13,temp_max=7024
a[568]=13,temp_max=7037
a[569]=13,temp_max=7050
a[570]=13,temp_max=7063
a[571]=13,temp_max=7076
a[572]=12,temp_max=7088
a[573]=13,temp_max=7101
a[574]=13,temp_max=7114
a[575]=13,temp_max=7127
a[576]=13,temp_max=7140
a[577]=13,temp_max=7153
a[578]=13,temp_max=7166
a[579]=13,temp_max=7179
a[580]=13,temp_max=7192
a[581]=12,temp_max=7204
a[582]=13,temp_max=7217
a[583]=12,temp_max=7229
a[584]=13,temp_max=7242
a[585]=13,temp_max=7255
a[586]=13,temp_max=7268
a[587]=13,temp_max=7281
a[588]=12,temp_max=7293
a[589]=12,temp_max=7305
a[590]=13,temp_max=7318
a[591]=13,temp_max=7331
a[592]=13,temp_max=7344
a[593]=13,temp_max=7357
a[594]=13,temp_max=7370
a[595]=13,temp_max=7383
a[596]=13,temp_max=7396
a[597]=12,temp_max=7408
a[598]=12,temp_max=7420
a[599]=13,temp_max=7433
a[600]=13,temp_max=7446
a[601]=12,temp_max=7458
a[602]=12,temp_max=7470
a[603]=10,temp_max=7480
a[604]=13,temp_max=7493
a[605]=10,temp_max=7503
a[606]=12,temp_max=7515
a[607]=13,temp_max=7528
a[608]=12,temp_max=7540
a[609]=13,temp_max=7553
a[610]=13,temp_max=7566
a[611]=12,temp_max=7578
a[612]=12,temp_max=7590
a[613]=13,temp_max=7603
a[614]=10,temp_max=7613
a[615]=13,temp_max=7626
a[616]=12,temp_max=7638
a[617]=13,temp_max=7651
a[618]=13,temp_max=7664
a[619]=10,temp_max=7674
a[620]=13,temp_max=7687
a[621]=13,temp_max=7700
a[622]=13,temp_max=7713
a[623]=10,temp_max=7723
a[624]=13,temp_max=7736
a[625]=13,temp_max=7749
a[626]=12,temp_max=7761
a[627]=10,temp_max=7771
a[628]=10,temp_max=7781
a[629]=13,temp_max=7794
a[630]=10,temp_max=7804
a[631]=13,temp_max=7817
a[632]=13,temp_max=7830
a[633]=13,temp_max=7843
a[634]=13,temp_max=7856
a[635]=13,temp_max=7869
a[636]=13,temp_max=7882
a[637]=13,temp_max=7895
a[638]=12,temp_max=7907
a[639]=13,temp_max=7920
a[640]=12,temp_max=7932
a[641]=13,temp_max=7945
a[642]=13,temp_max=7958
a[643]=13,temp_max=7971
a[644]=13,temp_max=7984
a[645]=13,temp_max=7997
a[646]=12,temp_max=8009
a[647]=10,temp_max=8019
a[648]=13,temp_max=8032
a[649]=13,temp_max=8045
a[650]=13,temp_max=8058
a[651]=10,temp_max=8068
a[652]=12,temp_max=8080
a[653]=13,temp_max=8093
a[654]=10,temp_max=8103
a[655]=10,temp_max=8113
a[656]=13,temp_max=8126
a[657]=13,temp_max=8139
a[658]=12,temp_max=8151
a[659]=13,temp_max=8164
a[660]=10,temp_max=8174
a[661]=13,temp_max=8187
a[662]=12,temp_max=8199
a[663]=13,temp_max=8212
a[664]=13,temp_max=8225
a[665]=12,temp_max=8237
a[666]=13,temp_max=8250
a[667]=13,temp_max=8263
a[668]=13,temp_max=8276
a[669]=10,temp_max=8286
a[670]=13,temp_max=8299
a[671]=12,temp_max=8311
a[672]=13,temp_max=8324
a[673]=10,temp_max=8334
a[674]=13,temp_max=8347
a[675]=13,temp_max=8360
a[676]=12,temp_max=8372
a[677]=13,temp_max=8385
a[678]=13,temp_max=8398
a[679]=12,temp_max=8410
a[680]=10,temp_max=8420
a[681]=12,temp_max=8432
a[682]=10,temp_max=8442
a[683]=13,temp_max=8455
a[684]=12,temp_max=8467
a[685]=10,temp_max=8477
a[686]=13,temp_max=8490
a[687]=13,temp_max=8503
a[688]=13,temp_max=8516
a[689]=13,temp_max=8529
a[690]=10,temp_max=8539
a[691]=13,temp_max=8552
a[692]=12,temp_max=8564
a[693]=13,temp_max=8577
a[694]=13,temp_max=8590
a[695]=12,temp_max=8602
a[696]=13,temp_max=8615
a[697]=13,temp_max=8628
a[698]=12,temp_max=8640
a[699]=12,temp_max=8652
a[700]=12,temp_max=8664
a[701]=13,temp_max=8677
a[702]=13,temp_max=8690
a[703]=10,temp_max=8700
a[704]=10,temp_max=8710
a[705]=12,temp_max=8722
a[706]=13,temp_max=8735
a[707]=12,temp_max=8747
a[708]=12,temp_max=8759
a[709]=10,temp_max=8769
a[710]=13,temp_max=8782
a[711]=13,temp_max=8795
a[712]=12,temp_max=8807
a[713]=13,temp_max=8820
a[714]=12,temp_max=8832
a[715]=12,temp_max=8844
a[716]=13,temp_max=8857
a[717]=12,temp_max=8869
a[718]=13,temp_max=8882
a[719]=12,temp_max=8894
a[720]=10,temp_max=8904
a[721]=13,temp_max=8917
a[722]=12,temp_max=8929
a[723]=10,temp_max=8939
a[724]=13,temp_max=8952
a[725]=12,temp_max=8964
a[726]=13,temp_max=8977
a[727]=10,temp_max=8987
a[728]=12,temp_max=8999
a[729]=13,temp_max=9012
a[730]=12,temp_max=9024
a[731]=13,temp_max=9037
a[732]=13,temp_max=9050
a[733]=12,temp_max=9062
a[734]=13,temp_max=9075
a[735]=10,temp_max=9085
a[736]=13,temp_max=9098
a[737]=13,temp_max=9111
a[738]=13,temp_max=9124
a[739]=13,temp_max=9137
a[740]=13,temp_max=9150
a[741]=13,temp_max=9163
a[742]=10,temp_max=9173
a[743]=13,temp_max=9186
a[744]=12,temp_max=9198
a[745]=13,temp_max=9211
a[746]=13,temp_max=9224
a[747]=12,temp_max=9236
a[748]=10,temp_max=9246
a[749]=13,temp_max=9259
a[750]=13,temp_max=9272
a[751]=13,temp_max=9285
a[752]=13,temp_max=9298
a[753]=10,temp_max=9308
a[754]=12,temp_max=9320
a[755]=10,temp_max=9330
a[756]=13,temp_max=9343
a[757]=13,temp_max=9356
a[758]=12,temp_max=9368
a[759]=13,temp_max=9381
a[760]=13,temp_max=9394
a[761]=13,temp_max=9407
a[762]=13,temp_max=9420
a[763]=10,temp_max=9430
a[764]=10,temp_max=9440
a[765]=13,temp_max=9453
a[766]=13,temp_max=9466
a[767]=13,temp_max=9479
a[768]=12,temp_max=9491
a[769]=13,temp_max=9504
a[770]=12,temp_max=9516
a[771]=13,temp_max=9529
a[772]=13,temp_max=9542
a[773]=13,temp_max=9555
a[774]=12,temp_max=9567
a[775]=12,temp_max=9579
a[776]=12,temp_max=9591
a[777]=13,temp_max=9604
a[778]=13,temp_max=9617
a[779]=12,temp_max=9629
a[780]=13,temp_max=9642
a[781]=13,temp_max=9655
a[782]=13,temp_max=9668
a[783]=13,temp_max=9681
a[784]=13,temp_max=9694
a[785]=13,temp_max=9707
a[786]=10,temp_max=9717
a[787]=13,temp_max=9730
a[788]=12,temp_max=9742
a[789]=12,temp_max=9754
a[790]=10,temp_max=9764
a[791]=10,temp_max=9774
a[792]=13,temp_max=9787
a[793]=13,temp_max=9800
a[794]=13,temp_max=9813
a[795]=12,temp_max=9825
a[796]=13,temp_max=9838
a[797]=13,temp_max=9851
a[798]=12,temp_max=9863
a[799]=13,temp_max=9876
a[800]=13,temp_max=9889
a[801]=13,temp_max=9902
a[802]=13,temp_max=9915
a[803]=10,temp_max=9925
a[804]=13,temp_max=9938
a[805]=13,temp_max=9951
a[806]=10,temp_max=9961
a[807]=13,temp_max=9974
a[808]=13,temp_max=9987
a[809]=13,temp_max=10000
a[810]=12,temp_max=10012
a[811]=13,temp_max=10025
a[812]=12,temp_max=10037
a[813]=13,temp_max=10050
a[814]=13,temp_max=10063
a[815]=13,temp_max=10076
a[816]=13,temp_max=10089
a[817]=13,temp_max=10102
a[818]=13,temp_max=10115
a[819]=13,temp_max=10128
a[820]=12,temp_max=10140
a[821]=13,temp_max=10153
a[822]=13,temp_max=10166
a[823]=13,temp_max=10179
a[824]=13,temp_max=10192
a[825]=13,temp_max=10205
a[826]=13,temp_max=10218
a[827]=13,temp_max=10231
a[828]=13,temp_max=10244
a[829]=13,temp_max=10257
a[830]=13,temp_max=10270
a[831]=13,temp_max=10283
a[832]=13,temp_max=10296
a[833]=10,temp_max=10306
a[834]=10,temp_max=10316
a[835]=13,temp_max=10329
a[836]=13,temp_max=10342
a[837]=12,temp_max=10354
a[838]=13,temp_max=10367
a[839]=13,temp_max=10380
a[840]=13,temp_max=10393
a[841]=13,temp_max=10406
a[842]=13,temp_max=10419
a[843]=13,temp_max=10432
a[844]=13,temp_max=10445
a[845]=13,temp_max=10458
a[846]=13,temp_max=10471
a[847]=13,temp_max=10484
a[848]=13,temp_max=10497
a[849]=13,temp_max=10510
a[850]=10,temp_max=10520
a[851]=10,temp_max=10530
a[852]=13,temp_max=10543
a[853]=13,temp_max=10556
a[854]=13,temp_max=10569
a[855]=12,temp_max=10581
a[856]=13,temp_max=10594
a[857]=13,temp_max=10607
a[858]=12,temp_max=10619
a[859]=13,temp_max=10632
a[860]=13,temp_max=10645
a[861]=13,temp_max=10658
a[862]=12,temp_max=10670
a[863]=13,temp_max=10683
a[864]=12,temp_max=10695
a[865]=10,temp_max=10705
a[866]=13,temp_max=10718
a[867]=10,temp_max=10728
a[868]=10,temp_max=10738
a[869]=13,temp_max=10751
a[870]=13,temp_max=10764
a[871]=10,temp_max=10774
a[872]=12,temp_max=10786
a[873]=13,temp_max=10799
a[874]=13,temp_max=10812
a[875]=12,temp_max=10824
a[876]=13,temp_max=10837
a[877]=12,temp_max=10849
a[878]=13,temp_max=10862
a[879]=13,temp_max=10875
a[880]=13,temp_max=10888
a[881]=13,temp_max=10901
a[882]=13,temp_max=10914
a[883]=12,temp_max=10926
a[884]=13,temp_max=10939
a[885]=13,temp_max=10952
a[886]=13,temp_max=10965
a[887]=13,temp_max=10978
a[888]=13,temp_max=10991
a[889]=10,temp_max=11001
a[890]=13,temp_max=11014
a[891]=13,temp_max=11027
a[892]=10,temp_max=11037
a[893]=13,temp_max=11050
a[894]=13,temp_max=11063
a[895]=12,temp_max=11075
a[896]=13,temp_max=11088
a[897]=13,temp_max=11101
a[898]=13,temp_max=11114
a[899]=10,temp_max=11124
a[900]=13,temp_max=11137
a[901]=13,temp_max=11150
a[902]=13,temp_max=11163
a[903]=10,temp_max=11173
a[904]=13,temp_max=11186
a[905]=13,temp_max=11199
a[906]=13,temp_max=11212
a[907]=13,temp_max=11225
a[908]=13,temp_max=11238
a[909]=13,temp_max=11251
a[910]=13,temp_max=11264
a[911]=13,temp_max=11277
a[912]=10,temp_max=11287
a[913]=13,temp_max=11300
a[914]=13,temp_max=11313
a[915]=13,temp_max=11326
a[916]=10,temp_max=11336
a[917]=13,temp_max=11349
a[918]=13,temp_max=11362
a[919]=13,temp_max=11375
a[920]=13,temp_max=11388
a[921]=13,temp_max=11401
a[922]=13,temp_max=11414
a[923]=13,temp_max=11427
a[924]=12,temp_max=11439
a[925]=13,temp_max=11452
a[926]=13,temp_max=11465
a[927]=13,temp_max=11478
a[928]=13,temp_max=11491
a[929]=13,temp_max=11504
a[930]=13,temp_max=11517
a[931]=12,temp_max=11529
a[932]=13,temp_max=11542
a[933]=13,temp_max=11555
a[934]=13,temp_max=11568
a[935]=13,temp_max=11581
a[936]=10,temp_max=11591
